RuleName,RuleID,Hit Count,First Hit Time(EST),Last Hit Time(EST)
DMZ2056_access_in_#14,268438748,52406,2022-01-21T22:17:50Z,2024-01-18T18:57:09Z
DMZ2056_access_in_#15,268438749,222142,2022-01-21T22:10:04Z,2024-01-18T18:59:25Z
DMZ2056_access_in_#16,268438750,0, , 
DMZ2056_access_in_#17,268438751,1192286,2022-01-20T01:43:13Z,2023-09-28T07:12:09Z
DMZ2056_access_in_#18,268438752,692,2022-01-23T20:47:53Z,2023-09-19T05:26:51Z
DMZ2056_access_in_#19,268438753,2610359,2022-01-20T01:43:08Z,2024-01-18T19:03:36Z
DMZ2056_access_in_#20,268438754,122313208,2022-01-20T01:43:09Z,2024-01-18T19:03:51Z
DMZ2056_access_in_#21,268439043,88924586,2022-01-20T01:43:13Z,2024-01-18T19:03:48Z
DMZ2056_access_in_#22,268438756,0, , 
DMZ2056_access_in_#23,268438757,0, , 
DMZ2056_FireCall,268438758,5450287,2023-10-27T06:59:17Z,2024-01-18T19:03:56Z
DMZ2056_access_in_#25,268438759,0, , 
DMZ2056_access_in_#26,268438760,9425999,2022-01-20T01:42:50Z,2023-10-18T11:51:31Z
DMZ2056_access_in_#27,268438761,0, , 
DMZ2056_access_in_#28,268438762,43980034,2022-01-20T01:43:07Z,2024-01-18T19:03:53Z
DMZ2056_access_in_#29,268438763,2305738501,2022-01-20T01:43:07Z,2024-01-18T19:03:56Z
DMZ2056_access_in_#30,268438764,0, , 
DMZ2056_access_in_#31,268438765,0, , 
DMZ2056_access_in_#32,268438766,0, , 
DMZ2056_access_in_#33,268438767,0, , 
DMZ2056_access_in_#34,268438768,0, , 
DMZ2056_access_in_#35,268438769,15367241,2022-01-20T01:43:13Z,2024-01-18T19:03:56Z
DMZ2056_access_in_#36,268438770,7193553,2022-01-20T01:43:04Z,2024-01-18T19:03:55Z
DMZ2056_access_in_#37,268438771,0, , 
DMZ2056_access_in_#38,268438772,0, , 
DMZ2056_access_in_#39,268438773,0, , 
DMZ2056_access_in_#40,268438774,0, , 
DMZ2056_access_in_#41,268438775,77040,2022-01-21T22:25:46Z,2024-01-18T19:00:22Z
DMZ2056_access_in_#42,268438776,12907,2022-01-21T22:12:16Z,2023-06-21T07:03:57Z
DMZ2056_access_in_#43,268438777,0, , 
DMZ2056_access_in_#44,268438778,0, , 
DMZ2056_access_in_#45,268438779,0, , 
DMZ2056_access_in_#46,268438780,0, , 
